metric,label,n_academico,n_control,mediana_academico,mediana_control,iqr_academico,iqr_control,U,p_valor,cliffs_delta,tamano_efecto,p_ajustado_holm,significativo_holm_0.05
cc_mean,Complejidad ciclomática (media),264,263,2.161889161889162,3.1232876712328768,1.4043988148875228,2.1209287479484913,21945.0,2.744214764161008e-13,-0.3678707224334601,mediano,2.4697932877449073e-12,True
cc_max,Complejidad ciclomática (máxima),264,263,15.5,26.0,19.0,31.0,24027.5,9.548409931349484e-10,-0.3078839728079272,pequeño,7.638727945079587e-09,True
dit_mean,"DIT (profundidad herencia, solo Java)",102,94,1.2097560975609756,1.0686124521437659,0.35797103835935284,0.27694704049844243,6204.0,0.0003598265648452047,0.29411764705882354,pequeño,0.0025187859539164328,True
nloc_total,Líneas de código,274,275,1591.5,2092.0,3440.75,6207.0,34088.0,0.05360915996799814,-0.09520902455209025,insignificante,0.32165495980798886,False
cbo_mean,"CBO (acoplamiento, solo Java)",102,94,5.738435070727666,5.171052631578947,3.6594148190621816,6.313723324168631,5513.5,0.06993991183980545,0.1500834376303713,pequeño,0.3496995591990273,False
lcom_mean,"LCOM (falta de cohesión, solo Java)",102,94,8.295810681164056,7.194124829756258,14.494403551258355,18.035067567567566,5379.0,0.14059201289700637,0.12202753441802253,insignificante,0.5623680515880255,False
wmc_mean,"WMC (complejidad por clase, solo Java)",102,94,5.919394841269842,6.495614035087719,5.005238809609106,4.808281163983956,4389.5,0.3085311857174279,-0.08437630371297455,insignificante,0.9255935571522836,False
duplication_pct,% duplicación,269,273,5.514189013277792,5.052264808362369,9.586674402135527,12.800438583737877,37678.5,0.5985298763328617,0.026144858858613507,insignificante,1.0,False
test_file_ratio,Proporción de archivos de test,274,275,0.0,0.0,0.05820215410107703,0.09975124378109451,37190.5,0.774102060188631,-0.012859986728599867,insignificante,1.0,False
