,academico,control
cc_mean,2.161889161889162,3.1232876712328768
cc_max,15.5,26.0
nloc_total,1591.5,2092.0
duplication_pct,5.514189013277792,5.052264808362369
test_file_ratio,0.0,0.0
cbo_mean,5.738435070727666,5.171052631578947
lcom_mean,8.295810681164056,7.194124829756258
dit_mean,1.2097560975609756,1.0686124521437659
wmc_mean,5.919394841269842,6.495614035087719
